Name,Tenant domain,Container,Source,Group email,Created time,Last activity date,Description,Group type,Viva Engage connection,Hide from address list,Aliases,Team status,Synced from on-premises,Security enabled,Membership type,Privacy,Roles assignable,Roles,Site URL,Mailbox size (GB),Storage used (GB),Sensitivity label,Allow external senders to email this Group,Owners,Members,First EnPower registration time,Group ID,Registered,Primary contact,Secondary contact,Membership assignment method,Claim status,Contact election profile,Renewal profile,Phase,Phase assignee,Renewal start time,Renewal due date,Next renewal date,Last renewal time,Last renewed by,B-Department,Please Select a Site Type to Start the Site Creation Request,B-Library Short Name,B-Library name,Department,Allow External Sharing-choice,EDRMS Site Type,Please select: Lock Site / Unlock Site,Library Short Name,Library name,Please Select a Library Type to Start the Library Creation Request,Procurement library,Allow External Sharing,RefinableString00,Department22,Site Short Name,DRM Department,Business Need,Desired Outcomes,Key Risks and Considerations,Content Category,Site URL,Remarks,Records Manager,Project Owner,External Sharing Allowed?,Choose Project Site Template,Choose Site Template,Please provide business reasons for having site site.,Segment,Division,Region,Manager,Purpose of Use,Request Reason,External Company Name,GALines,Archiver,Delete Site,D- Change list setting
BonnieTeam2,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,BonnieTeam2@7rkd12.onmicrosoft.com,11/27/2024 4:44:25 PM,4/24/2026,BonnieTeam2,Microsoft 365 Group,Not connected,On,-,Teams connected,No,No,Assigned,Private,No,User (no admin center access),https://7rkd12.sharepoint.com/sites/BonnieTeam2,0.00,0.00,None,Off,1,2,11/27/2024 6:04:35 PM,4ba8ed9c-606a-403d-95e2-6b3e00cea42e,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
community01,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,community01@7rkd12.onmicrosoft.com,4/9/2026 5:24:45 PM,5/8/2026,community01,Microsoft 365 Group,Connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/sites/community01,0.00,0.00,None,Off,2,2,6/24/2026 10:51:40 AM,af95759f-7709-4fde-8609-2adc8a797d4a,Yes,Admin ADB (Admin@7rkd12.onmicrosoft.com),Bonnie Test (BonnieTest@7rkd12.onmicrosoft.com),Manually assigned,Claimed,None,None,In compliance,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CSD Template,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,CSDTemplate@7rkd12.onmicrosoft.com,11/21/2024 11:39:24 AM,12/18/2025,CSD Template,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Private,No,User (no admin center access),https://7rkd12.sharepoint.com/sites/CSDTemplate,0.00,0.00,None,Off,2,1,9/6/2025 8:08:55 AM,8c1dc14f-328b-4eab-aace-00bd97e1c53f,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CSD_00A,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,CSD_00A@7rkd12.onmicrosoft.com,5/6/2025 6:45:19 PM,6/11/2026,CSD_00A,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Private,No,User (no admin center access),https://7rkd12.sharepoint.com/sites/CSD_00A_2,0.00,0.00,None,Off,2,2,9/6/2025 8:08:55 AM,37af4ccc-f25b-4601-8345-7ac511232666,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CSD_Demo Division,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,CSD_DemoDivision@7rkd12.onmicrosoft.com,7/7/2026 6:13:45 PM,7/30/2026,CSD_Demo Division,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Private,No,User (no admin center access),https://7rkd12.sharepoint.com/sites/CSD_DemoDivision,0.00,47.17,None,Off,12,12,7/7/2026 9:19:03 PM,25a8007f-90f1-4eaf-bcb3-b8f5e80bccd8,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-c-1,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-c-1@7rkd12.onmicrosoft.com,8/13/2026 11:20:14 AM,-,dane-c-1,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-c-1,0.00,0.00,None,Off,1,1,8/13/2026 1:40:21 PM,3b9216a5-1941-47c4-bcd1-ecae8383624f,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-c-10,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-c-10@7rkd12.onmicrosoft.com,8/13/2026 12:31:40 PM,-,dane-c-10,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-c-10,0.00,0.00,None,Off,1,1,8/13/2026 1:39:52 PM,461769ac-81d3-478b-9f5f-d09df2d9eb02,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-c-11,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-c-11@7rkd12.onmicrosoft.com,8/13/2026 12:31:48 PM,-,dane-c-11,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-c-11,0.00,0.00,None,Off,1,1,8/13/2026 1:39:47 PM,698a4b38-a812-484d-aee5-e66f9bb1f379,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-c-12,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-c-12@7rkd12.onmicrosoft.com,8/13/2026 12:31:56 PM,-,dane-c-12,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-c-12,0.00,0.00,None,Off,1,1,8/13/2026 1:46:35 PM,f594d2af-7c6b-4c80-80ab-79e54421bf9c,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-c-13,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-c-13@7rkd12.onmicrosoft.com,8/13/2026 12:32:09 PM,-,dane-c-13,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-c-13,0.00,0.00,None,Off,1,1,8/13/2026 1:47:09 PM,d008d7a4-4ec9-40d1-96d7-cb021594050d,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-c-14,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-c-14@7rkd12.onmicrosoft.com,8/13/2026 12:32:20 PM,-,dane-c-14,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-c-14,0.00,0.00,None,Off,1,1,8/13/2026 1:43:06 PM,ef5dceca-c2a1-40c2-8343-cd2de6b9869d,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-c-15,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-c-15@7rkd12.onmicrosoft.com,8/13/2026 12:32:29 PM,-,dane-c-15,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-c-15,0.00,0.00,None,Off,1,1,8/13/2026 1:46:35 PM,302746f6-0cf7-4b4d-a1fe-5b317696fde3,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-c-16,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-c-16@7rkd12.onmicrosoft.com,8/13/2026 12:58:50 PM,-,dane-c-16,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-c-16,0.00,0.00,None,Off,1,1,8/13/2026 1:42:41 PM,45895507-756f-4ae3-8063-f28f6762f287,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-c-17,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-c-17@7rkd12.onmicrosoft.com,8/13/2026 12:32:50 PM,-,dane-c-17,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-c-17,0.00,0.00,None,Off,1,1,8/13/2026 1:43:42 PM,b434d429-ac4a-43ea-b42f-5c441fa313ad,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-c-18,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-c-18@7rkd12.onmicrosoft.com,8/13/2026 12:32:59 PM,-,dane-c-18,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-c-18,0.00,0.00,None,Off,1,1,8/13/2026 1:44:30 PM,334498a9-6de2-4d86-ba31-8fa107ae9c1d,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-c-19,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-c-19@7rkd12.onmicrosoft.com,8/13/2026 12:33:09 PM,-,dane-c-19,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-c-19,0.00,0.00,None,Off,1,1,8/13/2026 1:43:26 PM,d2f42963-9c15-438d-a93f-0e43c8a456f3,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-c-2,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-c-2@7rkd12.onmicrosoft.com,8/13/2026 11:20:27 AM,-,dane-c-2,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-c-2,0.00,0.00,None,Off,1,1,8/13/2026 1:39:02 PM,c50f2bb7-18fc-49ce-9898-7c0fa481255a,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-c-20,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-c-20@7rkd12.onmicrosoft.com,8/13/2026 12:33:18 PM,-,dane-c-20,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-c-20,0.00,0.00,None,Off,1,1,8/13/2026 1:47:23 PM,283f0dba-b11d-4019-94ed-e8ac40a6a16d,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-c-21,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-c-21@7rkd12.onmicrosoft.com,8/13/2026 1:51:16 PM,-,dane-c-21,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-c-21,0.00,0.00,None,Off,1,1,8/13/2026 4:46:42 PM,7844992a-795b-4ba7-988a-bc75fe884fae,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-c-22,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-c-22@7rkd12.onmicrosoft.com,8/13/2026 1:51:28 PM,-,dane-c-22,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-c-22,0.00,0.00,None,Off,1,1,8/13/2026 4:47:24 PM,ce9b22bd-75ea-416c-9004-08f0296942b5,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-c-23,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-c-23@7rkd12.onmicrosoft.com,8/13/2026 1:51:38 PM,-,dane-c-23,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/sites/dane-Site-Title-c-23,0.00,0.00,None,Off,1,1,8/13/2026 4:47:02 PM,80ccaaa9-c7db-4abe-b3b8-b505e98ba0a5,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-c-24,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-c-24@7rkd12.onmicrosoft.com,8/13/2026 1:51:45 PM,-,dane-c-24,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-c-24,0.00,0.00,None,Off,1,1,8/13/2026 4:45:58 PM,a8038928-adfc-4094-9410-eb1f9d89b099,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-c-25,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-c-25@7rkd12.onmicrosoft.com,8/13/2026 1:51:55 PM,-,dane-c-25,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/sites/dane-Site-Title-c-25,0.00,0.00,None,Off,1,1,8/13/2026 4:46:17 PM,6894bdad-40a4-4c2b-9fec-cf0081365650,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-c-26,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-c-26@7rkd12.onmicrosoft.com,8/13/2026 1:52:01 PM,-,dane-c-26,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-c-26,0.00,0.00,None,Off,1,1,8/13/2026 4:48:50 PM,f0625507-27c1-4335-be1c-9670202caa31,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-c-27,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-c-27@7rkd12.onmicrosoft.com,8/13/2026 1:52:11 PM,-,dane-c-27,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-c-27,0.00,0.00,None,Off,1,1,8/13/2026 4:48:27 PM,ba8406d8-d71e-4db1-bd5e-6083439662e5,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
